user_id,id,title,date,condition,treat_cost,status,created_at,completed_at,updated_at,deleted_at
f9d84be0-0f53-4d77-99fd-3abcaacce64a,01KZKQA5X35CQNKC2ZK8BA8J7G,adada,2026-08-09,,,open,1786294638499,,1786294638499,
f9d84be0-0f53-4d77-99fd-3abcaacce64a,01KZKQA8HTQK20NS089G71ZEKF,adasda,2026-08-09,,,open,1786294641210,,1786294641210,
f9d84be0-0f53-4d77-99fd-3abcaacce64a,01KZKQAAYHDJANMW996RV7E68M,adasdads,2026-08-09,,,open,1786294643665,,1786294643665,
f9d84be0-0f53-4d77-99fd-3abcaacce64a,01KZKQADS5MKVMQE3SC5HM3CCW,adasdads,2026-08-09,,,open,1786294646565,,1786294646565,
f9d84be0-0f53-4d77-99fd-3abcaacce64a,01KZKQAHGP84DBNK24EK4TB503,adasdsasda,2026-08-09,,,open,1786294650390,,1786294650390,
f9d84be0-0f53-4d77-99fd-3abcaacce64a,01KZP3XWVGPBEC0P6RV9Y6BV59,Abc,2026-08-10,,,open,1786374976368,,1786374976368,
f9d84be0-0f53-4d77-99fd-3abcaacce64a,01KZP3YQZKAKA2K0VEWH5YDQ53,KKKK,2026-08-10,,,done,1786375004147,1786375024518,1786375024518,
f9d84be0-0f53-4d77-99fd-3abcaacce64a,01KZP4JM4A1CTZEB35AEPQQ10K,xxxx,2026-08-10,,3,waiting,1786375655562,,1786375655562,
f9d84be0-0f53-4d77-99fd-3abcaacce64a,01KZP68J7MGDFXQ5N1V18XHA0H,Abc,2026-08-10,"{""at"": ""18:00"", ""kind"": ""time""}",,open,1786377423092,,1786377423920,
f9d84be0-0f53-4d77-99fd-3abcaacce64a,01KZP69MTGX0E645F9HA5ZR1MQ,Ank,2026-08-10,"{""kind"": ""text"", ""text"": ""Simply""}",,waiting,1786377458512,,1786377942054,1786377942054
f9d84be0-0f53-4d77-99fd-3abcaacce64a,01KZP6GT03PW243AKRYKSJSSX1,Abc,2026-08-10,"{""kind"": ""task"", ""taskId"": ""01KZP3YQZKAKA2K0VEWH5YDQ53""}",,done,1786377693187,1786377929980,1786377929980,
f9d84be0-0f53-4d77-99fd-3abcaacce64a,01KZP6HF2RN5M71NNFGT0D4PRE,I want to check,2026-08-10,"{""kind"": ""task"", ""taskId"": ""01KZP3XWVGPBEC0P6RV9Y6BV59""}",,waiting,1786377714776,,1786377714776,
